502417 ; 2018-06-02 ; Movistar - Mala reparación de servicio de Internet ; [Ayer vino al condominio donde vivo el tecnico Sr. Carrizo (camioneta patente JTYP17), de la empresa Ureta y Arqueros limitada (contratista de Movistar), a realizar una reparación de Internet a una de las casas. Como no fue capaz de realizar la mantención solicitada, desconectó el Internet de mi casa para conectar la otra. Al pedirle que revirtiera su error, el técnico se negó a realizarla debido a que no era capaz de corregir los problemas y posteriormente huyo del condominio. Llama la atención que Movistar contrate a empresas que tienen técnicos que no cuentan con las competencias para reparar y mantener los servicios que Movistar ofrece.Les agradecería que me ayuden con las gestiones para que Movistar repare a la brevedad el error cometido por una de sus empresas contratistas., Cordiales saludos,, Luis Enberg Gaete12.961.813-2]
502398 ; 2018-06-02 ; Mundo Pacífico - 1 mes sin Internet ; [Hace un mes, solicité una reinstalacion de mi servicio de Internet por cambio de domicilio... Dicha instalación supuestamente demoraría como máximo una semana.En esa semana no se realizó la instalación debido a "problemas de gestión" con el jefe de los técnicos de instalación. Se prometió que en el plazo de 4 dias se realizaría la. Instalación... Así, la misma historia una y otra y otra y otra vez... Ya he ido mas de 10 veces a la sucursal a presionar para la instalación. Se supone que hoy era si o si el último día para la instalación y de nuevo no vinieron.]
502392 ; 2018-06-02 ; Movistar - No dan de baja servicio cuando es requerido ; [El 25 de mayo de 2018 cambie mi plan básico de $9.990 a uno de $39.990 plan multimedia libre + equipo,el tema es que jamas revcibi el equipo y me activaron aun así el plan y mas me agregaron una deuda de $3.990 del supuesto despacho del equipo.hoy dia con fecha 2 de junio de 2018 aun no me dan de baja el servicio,llevó 8 dias y aun nada,incluso fui a la sucursal y solo me comunicaron el ejecutivo por vía telefónica con el área especializada y según el ejecutivo dentro de las 2 a 24 hrs habilites se le dará de baja y nada,osea que tipo de servicio y personal tienen.]
502385 ; 2018-06-02 ; Claro  - Eliminación de número sin aviso ; [Tenía un plan en Claro que por problemas enconómicos no pude seguir pagando, se.me dio de baja el servicio cosa que es obvio, pero el día de hoy me encuentro sin señal y sin mí número, el cual fue eliminado.Encuentro que es una falta el eliminar número sin aviso y sin consentimiento, ya que el número es mío y no hay derecho a eliminarlo , ahora no puedo ni siquiera recibir llamadas,correspondía bloquear el equipo y no eliminar el número que es de mí propiedad no de ustedes, ya que más encima hice portabilidad.No me interesa una respuesta de ustedes mencionando que tengo boletas impagas y sus montos porque eso ya lo sé, lo que necesito es que me devuelvan mí número y me da lo mismo si bloquean el teléfono.]
502377 ; 2018-06-02 ; Claro Chile - Saldo promocional  ; [Hoy recargué $5000 a mi prepago Claro y según la página de Claro Chile tengo $2000 de Saldo promocional por 10 días, y no los recibí. Igual caso pasó ayer con una recarga de $5000 al celular de mi esposa, en el cual tampoco recibió tal Saldo promocional. Favor solucionar ese inconveniente a la brevedad.]
502350 ; 2018-06-02 ; Claro - Sin Internet por 3 dias ; [Buenas tardes mi recelo es que llevo 3 dias sin Internet de Claro e llamado y ma dan puras mentiras que el técnico va para su casa que te llamaremos en 2 horas Y puras mentiras de esas y al final nada llamamos y llamamos y los ejecutivos no tiene nada de idea de lo que sucede son unos ineptos que solo saben cobrar]
502344 ; 2018-06-02 ; Entel  - Dar de baja entel hogar ; [Ayer mi mamá llamo para dar de baja el servicio de hogar ya q hemos tenido muchos problemas con el servicio y por el motivo que mi mama se equivocó en el rut no le dieron solución y la derivaron a una sucursal siendo que yo pregunté cómo era el procedimiento y me indicaron que solo se debía llamar estamos súper desconformes con el servicio como la atención de los ejecutivos a cómo es el servicio de hogar ya que pasábamos sin señal espero una respuesta lo antes posible]
502322 ; 2018-06-02 ; Claro Chile - Diferencia de velocidad contratada y real ; [soy cliente nuevo de Claro y tengo problemas con la velocidad contratada de internet hogar, yo contraté 100mb y con suerte llegó a un promedio de 35mb. De hecho cuando instalaron el servicio el técnico nunca llegó a superar los 50mb de bajada indicando que en unas horas se solucionaría y hasta la fecha nada. La medición la hago por cable. Solicite ayuda a Claro e indicaron que iría un técnico, el cual no llegó. Ojala alguien de solución.]
502314 ; 2018-06-02 ; Claro - Lentitud de red ; [contratados 30 mb con fibra óptica, conectado a través de un cable LAN llegan 2,5 mb sin otro dispositivo conectado, por wifi la velocidad es muy lenta tanto que ni para abrir imágenes en 2 mp sirve. no es zona roja y es obvio que si son 30 mb llegara menos subida y menos bajada pero nunca tan poco. en fin se siente mas una  *****a  que cualquier otra cosa.]
502313 ; 2018-06-02 ; claro chile.cl - reclamo por engaño en venta de planes ; [en enero de este año 2018, una ejecutiva se contacta con con mi señora para ofrecerle el 2 x 1 por un costo de 18990 ambos planes. En marzo mi señora llama porque la cuenta no llegaba ni a nuestro domicilio ni al correo, se le informa que tuvieron un atraso y q nos llegara lo mas pronto posible.  En abril mi señora cancela 38990 pensando que eran dos meses los que estaba cancelando por el atraso de la boleta.  El mes pasado mayo va a cancelar la cuenta y le dicen que debe 38990 mi señora les dice porue estaba pagando dos meses de nuevo y le dicen que tenemos planes separados .dos planes de 19990 cada uno les informamos en una sucursal que eso no es asi que se equivocaron porque lo que habiamos contratado eran los planes 2 x 1 que ofrecian en enero y se mantuvieron en que no que eran dos planes separados pero no dan ninguna informacion se les exigio el contrato que sabemos no firmamos pero al pedirles la grabacion nos salen con que tienen una duracion de 1 a 2 meses lo cual nos hace imposible por ahora escuchar la oferta que se nos dio.]
502312 ; 2018-06-02 ; Claro - Quitar un canal ; [Señores de Claro ya llevo tratando mas de una semana comunicarme con ustedes para Quitar un canal y nada para que no me lo facturen este mes pero no contestan x ningun medio necesitp una solucion ahora yaaa el canal que quiero Quitar es el fox sport premiun necesito solucion]
